"filename", "language", "JavaScript", "PostCSS", "XML", "HTML", "JSON", "Markdown", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\rayom\OneDrive\Documents\UNIVERSIDAD\VISIONTECH\VisionTech-Fronted-main\VisionTech-Fronted-main\visiontech\VisionTech-pagina\visiontech\src\pages\DetalleCita.js", "JavaScript", 422, 0, 0, 0, 0, 0, 0, 0, 22, 444
"c:\Users\rayom\OneDrive\Documents\UNIVERSIDAD\VISIONTECH\VisionTech-Fronted-main\VisionTech-Fronted-main\visiontech\VisionTech-pagina\visiontech\src\pages\DetalleProducto.css", "PostCSS", 0, 591, 0, 0, 0, 0, 0, 0, 112, 703
"c:\Users\rayom\OneDrive\Documents\UNIVERSIDAD\VISIONTECH\VisionTech-Fronted-main\VisionTech-Fronted-main\visiontech\VisionTech-pagina\visiontech\src\pages\DetalleProducto.js", "JavaScript", 751, 0, 0, 0, 0, 0, 0, 0, 45, 796
"c:\Users\rayom\OneDrive\Documents\UNIVERSIDAD\VISIONTECH\VisionTech-Fronted-main\VisionTech-Fronted-main\visiontech\VisionTech-pagina\visiontech\src\pages\Home.css", "PostCSS", 0, 262, 0, 0, 0, 0, 0, 0, 54, 316
"c:\Users\rayom\OneDrive\Documents\UNIVERSIDAD\VISIONTECH\VisionTech-Fronted-main\VisionTech-Fronted-main\visiontech\VisionTech-pagina\visiontech\src\pages\Home.js", "JavaScript", 196, 0, 0, 0, 0, 0, 0, 0, 16, 212
"c:\Users\rayom\OneDrive\Documents\UNIVERSIDAD\VISIONTECH\VisionTech-Fronted-main\VisionTech-Fronted-main\visiontech\VisionTech-pagina\visiontech\src\pages\Login.css", "PostCSS", 0, 326, 0, 0, 0, 0, 0, 0, 58, 384
"c:\Users\rayom\OneDrive\Documents\UNIVERSIDAD\VISIONTECH\VisionTech-Fronted-main\VisionTech-Fronted-main\visiontech\VisionTech-pagina\visiontech\src\pages\Login.js", "JavaScript", 230, 0, 0, 0, 0, 0, 0, 0, 23, 253
"c:\Users\rayom\OneDrive\Documents\UNIVERSIDAD\VISIONTECH\VisionTech-Fronted-main\VisionTech-Fronted-main\visiontech\VisionTech-pagina\visiontech\src\pages\Pago.css", "PostCSS", 0, 664, 0, 0, 0, 0, 0, 11, 117, 792
"c:\Users\rayom\OneDrive\Documents\UNIVERSIDAD\VISIONTECH\VisionTech-Fronted-main\VisionTech-Fronted-main\visiontech\VisionTech-pagina\visiontech\src\pages\Pago.js", "JavaScript", 597, 0, 0, 0, 0, 0, 0, 0, 69, 666
"c:\Users\rayom\OneDrive\Documents\UNIVERSIDAD\VISIONTECH\VisionTech-Fronted-main\VisionTech-Fronted-main\visiontech\VisionTech-pagina\visiontech\src\pages\Perfil.css", "PostCSS", 0, 466, 0, 0, 0, 0, 0, 0, 86, 552
"c:\Users\rayom\OneDrive\Documents\UNIVERSIDAD\VISIONTECH\VisionTech-Fronted-main\VisionTech-Fronted-main\visiontech\VisionTech-pagina\visiontech\src\pages\Perfil.js", "JavaScript", 405, 0, 0, 0, 0, 0, 0, 0, 35, 440
"c:\Users\rayom\OneDrive\Documents\UNIVERSIDAD\VISIONTECH\VisionTech-Fronted-main\VisionTech-Fronted-main\visiontech\VisionTech-pagina\visiontech\src\pages\Productos.css", "PostCSS", 0, 394, 0, 0, 0, 0, 0, 0, 68, 462
"c:\Users\rayom\OneDrive\Documents\UNIVERSIDAD\VISIONTECH\VisionTech-Fronted-main\VisionTech-Fronted-main\visiontech\VisionTech-pagina\visiontech\src\pages\Productos.js", "JavaScript", 372, 0, 0, 0, 0, 0, 0, 0, 22, 394
"c:\Users\rayom\OneDrive\Documents\UNIVERSIDAD\VISIONTECH\VisionTech-Fronted-main\VisionTech-Fronted-main\visiontech\VisionTech-pagina\visiontech\src\pages\RecuperarPassword.css", "PostCSS", 0, 208, 0, 0, 0, 0, 0, 0, 37, 245
"c:\Users\rayom\OneDrive\Documents\UNIVERSIDAD\VISIONTECH\VisionTech-Fronted-main\VisionTech-Fronted-main\visiontech\VisionTech-pagina\visiontech\src\pages\RecuperarPassword.js", "JavaScript", 192, 0, 0, 0, 0, 0, 0, 0, 27, 219
"c:\Users\rayom\OneDrive\Documents\UNIVERSIDAD\VISIONTECH\VisionTech-Fronted-main\VisionTech-Fronted-main\visiontech\VisionTech-pagina\visiontech\src\pages\Servicios.css", "PostCSS", 0, 509, 0, 0, 0, 0, 0, 1, 98, 608
"c:\Users\rayom\OneDrive\Documents\UNIVERSIDAD\VISIONTECH\VisionTech-Fronted-main\VisionTech-Fronted-main\visiontech\VisionTech-pagina\visiontech\src\pages\Servicios.js", "JavaScript", 447, 0, 0, 0, 0, 0, 0, 0, 27, 474
"c:\Users\rayom\OneDrive\Documents\UNIVERSIDAD\VISIONTECH\VisionTech-Fronted-main\VisionTech-Fronted-main\visiontech\VisionTech-pagina\visiontech\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\rayom\OneDrive\Documents\UNIVERSIDAD\VISIONTECH\VisionTech-Fronted-main\VisionTech-Fronted-main\visiontech\VisionTech-pagina\visiontech\src\services\appointmentService.js", "JavaScript", 130, 0, 0, 0, 0, 0, 0, 28, 37, 195
"c:\Users\rayom\OneDrive\Documents\UNIVERSIDAD\VISIONTECH\VisionTech-Fronted-main\VisionTech-Fronted-main\visiontech\VisionTech-pagina\visiontech\src\services\authService.js", "JavaScript", 160, 0, 0, 0, 0, 0, 0, 1, 70, 231
"c:\Users\rayom\OneDrive\Documents\UNIVERSIDAD\VISIONTECH\VisionTech-Fronted-main\VisionTech-Fronted-main\visiontech\VisionTech-pagina\visiontech\src\services\emailService.js", "JavaScript", 131, 0, 0, 0, 0, 0, 0, 12, 16, 159
"c:\Users\rayom\OneDrive\Documents\UNIVERSIDAD\VISIONTECH\VisionTech-Fronted-main\VisionTech-Fronted-main\visiontech\VisionTech-pagina\visiontech\src\setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 4, 1, 6
"c:\Users\rayom\OneDrive\Documents\UNIVERSIDAD\VISIONTECH\VisionTech-Fronted-main\VisionTech-Fronted-main\visiontech\VisionTech-pagina\visiontech\src\utils\dbUtils.js", "JavaScript", 54, 0, 0, 0, 0, 0, 0, 17, 16, 87
"c:\Users\rayom\OneDrive\Documents\UNIVERSIDAD\VISIONTECH\VisionTech-Fronted-main\VisionTech-Fronted-main\visiontech\VisionTech-pagina\visiontech\styles\globals.css", "PostCSS", 0, 90, 0, 0, 0, 0, 0, 0, 5, 95
